"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"73",10046,2,"No","Unknown","Alabama","No",65
"74",10047,1,"No","02","Mississippi","Yes, Exceeded Speed Limit",45
"75",10047,2,"No","01","Alabama","No",55
"76",10048,1,"No","01","Florida","No",45
"77",10048,2,"No","01","Tennessee","No",98
"78",10048,3,"No","01","Alabama","No",45
"79",10049,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"80",10049,2,"No","01","Alabama","No",45
"81",10049,3,"No","02","Alabama","No",45
"82",10049,4,"No","02","Alabama","No",45
"83",10049,5,"No","01","Alabama","No",45
"84",10050,1,"No","02","Alabama","No",45
"85",10051,1,"No","01","Iowa","No",55
"86",10051,2,"No","01","Alabama","No",55
"87",10052,1,"No","01","Alabama","No",35
"88",10053,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"89",10054,1,"No","04","Alabama","Yes, Exceeded Speed Limit",45
"90",10055,1,"No","02","Alabama","No",55
"91",10055,2,"No","01","Alabama","No",55
"92",10056,1,"No","01","Alabama","No",45
"93",10057,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"94",10058,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"95",10059,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"96",10060,1,"No","02","Alabama","Yes, Too Fast for Conditions",98
"97",10061,1,"No","01","Texas","No",45
"98",10062,1,"No","01","Mississippi","No",55
"99",10062,2,"No","01","Alabama","No",55
"100",10063,1,"No","01","Alabama","No",50
"101",10063,2,"No","01","Alabama","No",50
"102",10063,3,"No","01","Alabama","No",50
"103",10064,1,"No","01","Georgia","No",55
"104",10065,1,"No","01","Alabama","No",45
"105",10066,1,"No","02","Alabama","No",55
"106",10066,2,"No","02","Alabama","No",55
"107",10067,1,"No","03","Alabama","No",55
"108",10067,2,"No","01","Alabama","No",55
"109",10069,1,"No","01","Alabama","No",45
"110",10070,1,"No","01","Alabama","No",0
"111",10070,2,"No","02","Alabama","No",45
"112",10070,3,"No","04","Alabama","No",45
"113",10071,1,"No","01","Alabama","No",45
"114",10071,2,"No","02","Alabama","No",45
"115",10072,1,"No","01","Florida","No",45
"116",10072,2,"No","01","Alabama","No",45
"117",10073,1,"No","02","Alabama","No",55
"118",10074,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"119",10075,1,"No","01","Alabama","No",55
"120",10075,2,"No","01","Alabama","No",55
"121",10076,1,"No","01","Alabama","No",55
"122",10076,2,"No","01","Alabama","No",55
"123",10077,1,"No","01","Alabama","No",55
"124",10077,2,"No","02","Alabama","No",55
"125",10078,1,"No","01","Alabama","No",45
"126",10078,2,"No","03","Alabama","No",45
"127",10079,1,"No","01","Georgia","No",30
"128",10079,2,"No","01","North Carolina","No",65
"129",10080,1,"No","02","Tennessee","No",65
"130",10080,2,"No","01","Alabama","No",65
"131",10081,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"132",10082,1,"No","01","Alabama","No",65
"133",10083,1,"No","01","Alabama","No",35
"134",10084,1,"No","02","Alabama","No",45
"135",10084,2,"No","04","Alabama","No",45
"136",10085,1,"No","01","Mississippi","No",45
"137",10086,1,"No","01","Alabama","No",45
"138",10087,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"139",10088,1,"No","01","Alabama","No",55
"140",10089,1,"No","01","Alabama","No",25
"141",10089,2,"No","01","Alabama","No",65
"142",10090,1,"No","01","Alabama","No",55
"143",10090,2,"No","02","Alabama","No",55
"144",10090,3,"No","01","Alabama","No",55
"145",10091,1,"No","02","Alabama","Reported as Unknown",30
"146",10091,2,"No","01","Alabama","No",40
"147",10092,1,"No","01","Florida","No",55
"148",10092,2,"No","02","Alabama","No",65
"149",10093,1,"No","01","Alabama","No",45
"150",10094,1,"No","02","Alabama","No",98
"151",10095,1,"No","01","Alabama","No",55
"152",10095,2,"No","01","Alabama","No",55
"153",10096,1,"No","01","Alabama","Yes, Too Fast for Conditions",40
"154",10096,2,"No","01","Alabama","No",40
"155",10096,3,"No","01","Alabama","No",40
"156",10097,1,"No","02","Alabama","No",45
"157",10097,2,"No","01","Alabama","No",55
"158",10098,1,"No","01","Georgia","Yes, Exceeded Speed Limit",55
"159",10098,2,"No","01","Alabama","No",55
"160",10099,1,"No","01","Alabama","No",55
"161",10099,2,"No","01","Alabama","No",55
"162",10100,1,"No","01","Alabama","No",50
"163",10101,1,"No","01","Alabama","No",45
"164",10102,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"165",10103,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",50
"166",10104,1,"No","03","Alabama","No",65
"167",10105,1,"No","01","Tennessee","Yes, Exceeded Speed Limit",70
"168",10105,2,"No","01","Texas","No",70
"169",10106,1,"No","01","Alabama","No",70
"170",10106,2,"No","01","Georgia","No",70
"171",10106,3,"No","01","Alabama","No",70
"172",10106,4,"No","01","Alabama","No",70
"173",10106,5,"No","01","Alabama","No",70
"174",10107,1,"No","02","Illinois","No",70
"175",10108,1,"No","02","Alabama","Reported as Unknown",65
"176",10109,1,"No","01","Alabama","No",70
"177",10109,2,"No","03","Indiana","No",70
"178",10110,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"179",10110,2,"No","01","Alabama","No",65
"180",10111,1,"No","01","Alabama","Yes, Racing",60
"181",10111,2,"No","02","Alabama","Yes, Racing",60
"182",10112,1,"No","01","Alabama","No",70
"183",10112,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",70
"184",10113,1,"No","01","Alabama","No",65
"185",10113,2,"No","02","Alabama","No",65
"186",10114,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"187",10114,2,"No","01","Alabama","No",30
"188",10115,1,"No","01","Alabama","No",40
"189",10116,1,"No","01","Alabama","No",98
"190",10116,2,"No","01","Alabama","No",98
"191",10117,1,"No","01","Alabama","No",45
"192",10117,2,"No","01","Alabama","No",45
"193",10118,1,"No","01","Alabama","No",35
"194",10118,2,"No","01","Alabama","Yes, Too Fast for Conditions",35
"195",10119,1,"No","01","Alabama","No",45
"196",10120,1,"No","01","Alabama","No",40
"197",10121,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"198",10121,2,"No","02","Georgia","No",55
"199",10122,1,"No","01","Alabama","Reported as Unknown",45
"200",10122,2,"No","03","Alabama","Reported as Unknown",55
"201",10123,1,"No","02","Alabama","Reported as Unknown",60
"202",10124,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"203",10124,2,"No","20","Alabama","No",55
"204",10125,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"205",10126,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"206",10127,1,"No","02","Alabama","No",60
"207",10127,2,"No","02","Alabama","No",60
"208",10128,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"209",10128,2,"No","02","Alabama","No",35
"210",10129,1,"No","01","Alabama","No",98
"211",10129,2,"No","01","Alabama","No",55
"212",10130,1,"No","01","Alabama","No",55
"213",10130,2,"No","01","Alabama","No",55
"214",10131,1,"No","01","Alabama","No",55
"215",10131,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",55
"216",10132,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"217",10133,1,"No","01","Alabama","No",45
"218",10133,2,"No","01","Alabama","No",45
"219",10134,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"220",10135,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"221",10135,2,"No","01","Alabama","No",40
"222",10136,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"223",10137,1,"No","01","Alabama","No",45
"224",10138,1,"No","01","Alabama","Reported as Unknown",65
"225",10138,2,"No","01","Alabama","No",65
"226",10139,1,"No","01","Alabama","Reported as Unknown",65
"227",10140,1,"No","01","Alabama","No",55
"228",10140,2,"No","01","Alabama","No",55
"229",10140,3,"No","01","Alabama","No",55
"230",10141,1,"No","03","Tennessee","Yes, Exceeded Speed Limit",25
"231",10141,2,"No","02","Alabama","No",25
"232",10142,1,"No","01","Georgia","No",55
"233",10143,1,"No","02","Alabama","No",45
"234",10144,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"235",10145,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"236",10146,1,"No","02","Florida","No",45
"237",10146,2,"No","01","Alabama","No",55
"238",10147,1,"No","01","Alabama","No",55
"239",10147,2,"No","01","Alabama","No",55
"240",10148,1,"No","01","Alabama","Yes, Exceeded Speed Limit",98
"241",10148,2,"No","03","Alabama","No",98
"242",10149,1,"No","01","Alabama","No",45
"243",10150,1,"No","01","Alabama","No",65
"244",10151,1,"No","01","Alabama","No",45
"245",10152,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"246",10153,1,"No","01","Alabama","No",25
"247",10154,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"248",10155,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"249",10155,2,"Yes","02","Reported as Unknown","No",45
"250",10156,1,"Yes","01","Alabama","Reported as Unknown",45
"251",10157,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"252",10158,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"253",10159,1,"No","01","Alabama","No",45
"254",10159,2,"No","03","Alabama","No",45
"255",10160,1,"No","02","Alabama","No",45
"256",10161,1,"No","01","Alabama","No",55
"257",10162,1,"No","01","Arizona","No",65
"258",10163,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"259",10164,1,"No","01","Alabama","No",70
"260",10165,1,"No","01","Alabama","No",50
"261",10165,2,"No","02","Georgia","No",50
"262",10166,1,"No","01","Alabama","No",70
"263",10166,2,"No","01","Georgia","No",70
"264",10167,1,"No","01","Georgia","No",70
"265",10168,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"266",10169,1,"No","01","Alabama","No",70
"267",10169,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",70
"268",10169,3,"No","01","Alabama","No",70
"269",10170,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"270",10171,1,"No","01","Alabama","No",70
"271",10172,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",45
"272",10173,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",35
"273",10174,1,"No","01","Alabama","No",50
"274",10174,2,"No","01","Alabama","No",50
"275",10176,1,"No","02","Alabama","No",45
"276",10176,2,"No","02","Alabama","No",55
"277",10177,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"278",10178,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"279",10178,2,"No","01","Alabama","No",45
"280",10179,1,"No","01","Alabama","No",40
"281",10179,2,"No","01","Alabama","No",55
"282",10180,1,"No","02","Alabama","No",30
"283",10181,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"284",10181,2,"No","04","Alabama","No",40
"285",10182,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"286",10183,1,"No","01","Alabama","No",45
"287",10183,2,"No","01","Alabama","No",45
"288",10184,1,"No","01","Alabama","No",55
"289",10185,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"290",10186,1,"No","01","Alabama","No",55
"291",10187,1,"No","02","Alabama","Yes, Exceeded Speed Limit",65
"292",10188,1,"No","01","Alabama","No",55
"293",10190,1,"No","01","Alabama","No",55
"294",10191,1,"No","01","Alabama","No",55
"295",10192,1,"No","01","Alabama","No",55
"296",10192,2,"No","02","Alabama","No",55
"297",10192,3,"No","03","Alabama","No",55
"298",10193,1,"No","02","Alabama","No",45
"299",10193,2,"No","01","Alabama","No",70
"300",10194,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"301",10195,1,"No","02","Alabama","Reported as Unknown",35
"302",10196,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"303",10197,1,"No","05","Alabama","No",55
"304",10197,2,"No","02","Alabama","No",55
"305",10198,1,"No","01","Alabama","No",35
"306",10198,2,"No","01","Alabama","No",55
"307",10199,1,"No","01","Alabama","No",55
"308",10199,2,"No","02","Alabama","No",55
"309",10199,3,"No","01","Alabama","No",55
"310",10199,4,"No","01","Alabama","No",55
"311",10200,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"312",10200,2,"No","01","Alabama","No",45
"313",10201,1,"Yes","Unknown","Reported as Unknown","No",55
"314",10201,2,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"315",10202,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"316",10203,1,"No","01","Alabama","Yes, Exceeded Speed Limit",50
"317",10204,1,"No","04","Alabama","Yes, Exceeded Speed Limit",45
"318",10205,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"319",10206,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"320",10207,1,"No","02","Alabama","Yes, Exceeded Speed Limit",98
"321",10207,2,"No","03","Alabama","No",98
"322",10208,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"323",10209,1,"Yes","01","Alabama","Yes, Exceeded Speed Limit",25
"324",10210,1,"No","01","Alabama","No",65
"325",10211,1,"No","01","Alabama","No",65
"326",10211,2,"No","04","Alabama","No",65
"327",10212,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"328",10213,1,"No","02","Alabama","No",35
"329",10214,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"330",10215,1,"No","01","Alabama","No",55
"331",10216,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"332",10217,1,"No","02","Alabama","Yes, Exceeded Speed Limit",40
"333",10218,1,"No","03","Louisiana","No",55
"334",10218,2,"No","02","Alabama","No",55
"335",10219,1,"No","02","Alabama","No",45
"336",10220,1,"No","02","Ohio","Yes, Exceeded Speed Limit",55
"337",10221,1,"No","02","Georgia","No",65
"338",10222,1,"No","01","Alabama","No",45
"339",10222,2,"No","01","Alabama","No",65
"340",10223,1,"No","01","Alabama","No",35
"341",10224,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"342",10225,1,"No","01","Alabama","Reported as Unknown",50
"343",10226,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"344",10226,2,"No","01","Alabama","No",35
"345",10227,1,"No","06","Alabama","No",55
"346",10228,1,"No","02","Alabama","No",55
"347",10228,2,"No","02","Alabama","No",55
"348",10229,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"349",10230,1,"No","01","Alabama","Reported as Unknown",60
"350",10231,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"351",10232,1,"No","01","Alabama","No",45
"352",10232,2,"No","04","Alabama","No",45
"353",10233,1,"No","02","Alabama","No",40
"354",10233,2,"No","01","Alabama","No",40
"355",10234,1,"No","01","Alabama","No",45
"356",10235,1,"No","01","Alabama","No",35
"357",10236,1,"No","01","Ohio","No",55
"358",10236,2,"No","02","Alabama","No",55
"359",10237,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"360",10238,1,"No","01","Alabama","No",40
"361",10239,1,"No","01","Alabama","No",50
"362",10239,2,"No","01","Alabama","No",50
"363",10239,3,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",50
"364",10240,1,"No","01","Alabama","No",45
"365",10240,2,"No","06","Alabama","No",55
"366",10242,1,"No","01","Mississippi","No",70
"367",10243,1,"No","02","Alabama","No",65
"368",10244,1,"No","01","Alabama","Yes, Exceeded Speed Limit",60
"369",10245,1,"No","01","Georgia","No",70
"370",10245,2,"No","03","Alabama","Yes, Exceeded Speed Limit",70
"371",10246,1,"No","02","Alabama","No",70
"372",10247,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"373",10248,1,"No","03","Alabama","No",70
"374",10249,1,"No","02","Alabama","No",70
"375",10249,2,"No","01","Alabama","No",70
"376",10249,3,"No","01","Nevada","No",70
"377",10250,1,"No","01","Alabama","No",70
"378",10251,1,"No","02","Florida","No",70
"379",10252,1,"No","01","Alabama","No",65
"380",10252,2,"No","01","Alabama","No",65
"381",10253,1,"No","02","Alabama","No",70
"382",10254,1,"No","02","Florida","Yes, Exceeded Speed Limit",70
"383",10255,1,"No","01","Alabama","No",45
"384",10255,2,"No","01","Alabama","No",45
"385",10256,1,"No","02","Alabama","No",45
"386",10256,2,"No","02","Alabama","No",45
"387",10257,1,"No","03","Alabama","No",65
"388",10257,2,"No","01","Alabama","No",65
"389",10258,1,"No","01","Alabama","No",35
"390",10259,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"391",10260,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"392",10260,2,"No","01","Georgia","No",65
"393",10260,3,"No","01","Alabama","No",65
"394",10261,1,"Yes","01","Alabama","No",35
"395",10262,1,"No","01","Alabama","No",55
"396",10263,1,"No","01","Alabama","No",55
"397",10263,2,"No","01","Alabama","No",55
"398",10264,1,"No","02","Alabama","No",45
"399",10264,2,"No","01","Alabama","No",65
"400",10265,1,"No","01","Alabama","Reported as Unknown",45
"401",10266,1,"No","01","Alabama","No",45
"402",10267,1,"No","01","Alabama","No",55
"403",10267,2,"No","05","Alabama","No",55
"404",10267,3,"No","07","Louisiana","No",55
"405",10268,1,"No","03","Alabama","No",35
"406",10268,2,"No","01","Alabama","No",35
"407",10269,1,"No","01","Alabama","No",45
"408",10270,1,"No","01","Alabama","No",45
"409",10271,1,"No","02","Alabama","No",55
"410",10272,1,"No","04","Alabama","Yes, Too Fast for Conditions",55
"411",10272,2,"No","01","Alabama","No",55
"412",10273,1,"No","01","Alabama","No",55
"413",10273,2,"No","03","Alabama","No",55
"414",10274,1,"No","01","Alabama","No",40
"415",10275,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"416",10276,1,"No","03","Alabama","No",45
"417",10276,2,"No","01","Alabama","No",60
"418",10277,1,"No","01","Alabama","Yes, Too Fast for Conditions",65
"419",10277,2,"No","02","Mississippi","No",65
"420",10278,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"421",10278,2,"No","01","Alabama","No",55
"422",10279,1,"No","01","Alabama","No",35
"423",10279,2,"No","01","Alabama","No",35
"424",10279,3,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"425",10279,4,"No","01","Alabama","No",35
"426",10280,1,"No","01","Alabama","No",55
"427",10281,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"428",10282,1,"No","02","Alabama","No",55
"429",10282,2,"No","01","Georgia","No",55
"430",10283,1,"No","02","Alabama","Yes, Too Fast for Conditions",55
"431",10284,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"432",10285,1,"No","04","Alabama","No",25
"433",10286,1,"No","01","Alabama","Yes, Exceeded Speed Limit",25
"434",10287,1,"No","01","Alabama","No",45
"435",10288,1,"No","01","Alabama","No",30
"436",10288,2,"No","01","Alabama","No",40
"437",10289,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"438",10290,1,"No","01","Alabama","No",55
"439",10291,1,"No","01","Alabama","No",45
"440",10292,1,"No","01","Alabama","No",60
"441",10292,2,"No","02","Alabama","No",60
"442",10293,1,"No","01","Alabama","No",35
"443",10293,2,"No","01","Alabama","No",35
"444",10294,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"445",10294,2,"No","02","Alabama","No",25
"446",10295,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"447",10296,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"448",10296,2,"No","01","Alabama","No",35
"449",10297,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"450",10298,1,"No","01","Georgia","No",55
"451",10298,2,"No","01","Alabama","No",55
"452",10299,1,"No","02","Alabama","No",40
"453",10300,1,"No","06","Alabama","No",65
"454",10300,2,"No","01","Alabama","No",65
"455",10301,1,"No","01","Alabama","Reported as Unknown",55
"456",10301,2,"No","02","Alabama","No",55
"457",10302,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"458",10303,1,"No","01","Alabama","No",65
"459",10303,2,"No","01","Alabama","No",65
"460",10304,1,"No","02","Alabama","No",35
"461",10305,1,"No","01","Alabama","Reported as Unknown",40
"462",10305,2,"No","02","Alabama","No",40
"463",10306,1,"No","01","Alabama","Yes, Exceeded Speed Limit",50
"464",10306,2,"No","02","Alabama","No",50
"465",10307,1,"No","01","Alabama","No",45
"466",10308,1,"No","01","Alabama","No",45
"467",10309,1,"No","01","Alabama","No",65
"468",10310,1,"No","01","Alabama","No",50
"469",10311,1,"No","02","Alabama","Yes, Too Fast for Conditions",35
"470",10311,2,"No","02","Alabama","No",35
"471",10312,1,"No","01","Alabama","No",40
"472",10312,2,"No","02","Alabama","No",40
"473",10313,1,"No","01","Alabama","No",55
"474",10313,2,"No","02","Alabama","No",55
"475",10314,1,"No","03","Alabama","No",35
"476",10314,2,"No","02","Alabama","No",65
"477",10315,1,"No","02","Alabama","No",45
"478",10315,2,"No","01","Alabama","No",45
"479",10316,1,"No","02","Alabama","No",50
"480",10316,2,"No","03","Tennessee","No",50
"481",10317,1,"No","03","Tennessee","No",65
"482",10317,2,"No","01","Connecticut","No",65
"483",10318,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"484",10319,1,"No","01","Alabama","No",30
"485",10319,2,"No","01","Georgia","Yes, Exceeded Speed Limit",30
"486",10320,1,"Yes","01","Alabama","No",55
"487",10321,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"488",10322,1,"No","02","Alabama","No",50
"489",10322,2,"No","01","Alabama","No",50
"490",10322,3,"No","01","Alabama","No",50
"491",10323,1,"No","02","Alabama","No",55
"492",10323,2,"No","01","Alabama","No",55
"493",10324,1,"No","02","Alabama","Reported as Unknown",55
"494",10324,2,"No","01","Alabama","No",55
"495",10325,1,"No","01","Alabama","No",55
"496",10325,2,"No","01","Alabama","No",55
"497",10326,1,"No","02","Alabama","No",45
"498",10327,1,"No","01","Alabama","No",65
"499",10327,2,"No","03","Alabama","No",65
"500",10328,1,"No","01","New York","Reported as Unknown",35
"501",10329,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"502",10330,1,"No","02","Alabama","Yes, Too Fast for Conditions",55
"503",10331,1,"No","02","Alabama","Yes, Exceeded Speed Limit",30
"504",10332,1,"No","01","Alabama","Reported as Unknown",55
"505",10332,2,"No","01","Alabama","No",55
"506",10333,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"507",10334,1,"No","01","Alabama","No",45
"508",10335,1,"No","01","Alabama","No",55
"509",10336,1,"No","01","Florida","No",45
"510",10336,2,"No","02","Alabama","No",45
"511",10337,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"512",10338,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"513",10339,1,"No","02","Alabama","No",40
"514",10340,1,"No","01","Ohio","Yes, Exceeded Speed Limit",55
"515",10341,1,"No","02","Alabama","Yes, Specifics Unknown",55
"516",10342,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"517",10343,1,"No","01","Alabama","No",65
"518",10343,2,"No","04","Alabama","No",65
"519",10344,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"520",10345,1,"No","02","Alabama","No",55
"521",10345,2,"No","04","Alabama","No",55
"522",10346,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"523",10347,1,"No","02","Alabama","No",50
"524",10348,1,"Yes","Unknown","Reported as Unknown","Reported as Unknown",70
"525",10349,1,"No","05","Louisiana","Yes, Too Fast for Conditions",70
"526",10350,1,"Yes","02","Reported as Unknown","Yes, Exceeded Speed Limit",70
"527",10350,2,"No","01","Alabama","No",70
"528",10351,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"529",10351,2,"No","02","Arizona","No",70
"530",10352,1,"No","01","Alabama","No",70
"531",10353,1,"No","01","Alabama","No",30
"532",10354,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"533",10355,1,"No","01","Georgia","No",70
"534",10355,2,"No","04","Alabama","No",70
"535",10355,3,"No","03","Alabama","No",70
